ISIN,Name,BSE,NSE,Fair Value,Industry
INE747K01017,Tarapur Transformers Limited,533203,TARAPUR,10,Heavy Electrical Equipment
INE924H01018,Tarmat Limited,532869,TARMAT,10,Construction Materials
INE092A01019,Tata Chemicals Limited,500770,TATACHEM,10,Commodity Chemicals
INE493A01019,Tata Coffee Limited,532301,TATACOFFEE,10,Tea And Coffee
INE151A01013,Tata Communications Limited,500483,TATACOMM,10,Telecom - Alternate Carriers
INE670A01012,Tata Elxsi Limited,500408,TATAELXSI,10,IT Software Products
INE192A01025,Tata Global Beverages Limited,500800,TATAGLOBAL,1,Tea And Coffee
INE672A01018,Tata Investment Corporation Limited,501301,TATAINVEST,10,Investment Companies
INE056C01010,Tata Metaliks Limited,513434,TATAMETALI,10,Iron And Steel/Interm.Products
INE155A01022,Tata Motors Limited,500570,TATAMOTORS,2,Commercial Vehicles
IN9155A01020,Tata Motors Limited,570001,TATAMTRDVR,2,Commercial Vehicles
INE245A01021,Tata Power Company Limited,500400,TATAPOWER,1,Electric Utilities
INE674A01014,Tata Sponge Iron Limited,513010,TATASPONGE,10,Iron And Steel/Interm.Products
INE081A01012,Tata Steel Limited,500470,TATASTEEL,10,Iron And Steel/Interm.Products
INE760L01018,Tribhovandas Bhimji Zaveri Limited,534369,TBZ,10,Other Apparels And Accessories
INE688A01022,Transport Corporation of India Limited,532349,TCI,2,Surface Transportation
INE662L01016,TCI Developers Limited,533393,TCIDEVELOP,10,Realty
INE911B01018,TCI Finance Limited,501242,TCIFINANCE,10,Finance (including NBFCs)
INE467B01029,Tata Consultancy Services Limited,532540,TCS,1,IT Consulting And Software
INE419M01019,TD Power Systems Limited,533553,TDPOWERSYS,10,Heavy Electrical Equipment
INE669C01028,Tech Mahindra Limited,532755,TECHM,10,IT Consulting And Software
INE286K01024,Techno Electric & Engineering Company Limited,533281,TECHNO,2,Heavy Electrical Equipment
INE509K01011,Technofab Engineering Limited,533216,TECHNOFAB,10,Construction And Engineering
INE904H01010,Tecpro Systems Limited,533266,TECPRO,10,Industrial Machinery
INE435C01024,Texmaco Infrastructure & Holdings Limited,505400,TEXINFRA,1,Industrial Machinery
INE141K01013,Texmo Pipes and Products Limited,533164,TEXMOPIPES,10,Iron And Steel Products
INE621L01012,Texmaco Rail & Engineering Limited,533326,TEXRAIL,1,Construction And Engineering
INE305A01015,Tourism Finance Corporation of India Limited,526650,TFCILTD,10,Financial Institutions
INE804H01012,Transwarranty Finance Limited,532812,TFL,10,Finance (including NBFCs)
INE797H01018,TGB BANQUETS AND HOTELS LIMITED,532845,TGBHOTELS,10,Hotels
INE085J01014,Thangamayil Jewellery Limited,533158,THANGAMAYL,10,Other Apparels And Accessories
INE319B01014,The Byke Hospitality Limited,531373,THEBYKE,10,Hotels
INE083B01016,Themis Medicare Limited,530199,THEMISMED,10,Pharmaceuticals
INE152A01029,Thermax Limited,500411,THERMAX,2,Heavy Electrical Equipment
INE409A01015,Thiru Arooran Sugars Limited,507450,THIRUSUGAR,10,Sugar
INE332A01027,Thomas Cook  (India)  Limited,500413,THOMASCOOK,1,Travel Support Services
INE480M01011,Thomas Scott (India) Limited,533941,THOMASCOTT,10,Other Apparels And Accessories
INE133E01013,Tilaknagar Industries Limited,507205,TI,10,Breweries And Distilleries
INE484C01014,Tide Water Oil Company (India) Limited,590005,TIDEWATER,10,Oil Marketing And Distribution
INE545H01011,Technocraft Industries (India) Limited,532804,TIIL,10,Iron And Steel Products
INE440L01017,Tijaria Polypipes Limited,533629,TIJARIA,10,Plastic Products
INE806C01018,TIL Limited,505196,TIL,10,Transport Related Services
INE346L01016,Timbor Home Limited,533444,TIMBOR,10,Furniture-Furnishing-Paints
INE289C01025,Times Guaranty Limited,511559,TIMESGTY,10,Finance (including NBFCs)
INE508G01029,Time Technoplast Limited,532856,TIMETECHNO,1,Containers And Packaging
INE325A01013,Timken India Limited,522113,TIMKEN,10,Industrial Machinery
INE422C01014,The Tinplate Company of India Limited,504966,TINPLATE,10,Containers And Packaging
INE716B01011,TIPS Industries Limited,532375,TIPSINDLTD,10,Movies And Entertainment
INE338A01016,Thirumalai Chemicals Limited,500412,TIRUMALCHM,10,Commodity Chemicals
INE280A01028,Titan Company Limited,500114,TITAN,1,Other Apparels And Accessories
INE280A01028,Titan Company Limited,500114,TITAN,1,Other Apparels And Accessories
INE148A01019,Tamilnadu PetroProducts Limited,500777,TNPETRO,10,Commodity Chemicals
INE107A01015,Tamil Nadu Newsprint & Papers Limited,531426,TNPL,10,Paper And Paper Products
INE141D01018,Tamilnadu Telecommunication Limited,523419,TNTELE,10,Telecom Cables
INE944B01019,Todays Writing Instruments Limited,531830,TODAYS,10,Non-Durable Household Prod.
INE932C01012,Tokyo Plast International Limited,500418,TOKYOPLAST,10,Plastic Products
INE685A01028,Torrent Pharmaceuticals Limited,500420,TORNTPHARM,5,Pharmaceuticals
INE813H01021,Torrent Power Limited,532779,TORNTPOWER,10,Electric Utilities
INE040M01013,Tree House Education & Accessories Limited,533540,TREEHOUSE,10,Education
INE849A01012,Trent Limited,500251,TRENT,10,Department Stores
INE391D01019,TRF Limited,505854,TRF,10,Commercial Vehicles
INE771B01032,Tricom India Limited,531675,TRICOM,2,BPO/KPO
INE064C01014,Trident Limited,521064,TRIDENT,10,Textiles
INE948A01012,Trigyn Technologies Limited,517562,TRIGYN,10,IT Software Products
INE763I01018,Transformers And Rectifiers (India) Limited,532928,TRIL,10,Heavy Electrical Equipment
INE152M01016,Triveni Turbine Limited,533655,TRITURBINE,1,Heavy Electrical Equipment
INE256C01024,Triveni Engineering & Industries Limited,532356,TRIVENI,1,Sugar
INE910C01018,TTK Healthcare Limited,507747,TTKHEALTH,10,Pharmaceuticals
INE690A01010,TTK Prestige Limited,517506,TTKPRESTIG,10,Houseware
INE592B01016,T T Limited,514142,TTL,10,Textiles
INE517B01013,Tata Teleservices (Maharashtra) Limited,532371,TTML,10,Telecom Services
INE149A01025,Tube Investments of India Limited,504973,TUBEINVEST,2,Auto Parts And Equipment
INE122H01027,Tulip Telecom Limited,532691,TULIP,2,Other Telecom Services
INE474I01012,Tulsi Extrusions Limited,532948,TULSI,10,Plastic Products
INE886H01027,TV18 Broadcast Limited,532800,TV18BRDCST,2,Broadcasting And Cable TV
INE236G01019,TVS Electronics Limited,532513,TVSELECT,10,Storage Media And Peripherals
INE494B01023,TVS Motor Company Limited,532343,TVSMOTOR,1,2/3 Wheelers
INE421C01016,TVS Srichakra Limited,509243,TVSSRICHAK,10,Auto Tyres And Rubber Products
INE038F01029,TV Today Network Limited,532515,TVTODAY,5,Broadcasting And Cable TV
INE783B01029,Twilight Litaka Pharma Limited,506985,TWILITAKA,5,Pharmaceuticals
INE615H01012,Titagarh Wagons Limited,532966,TWL,10,Commercial Vehicles
